ONT,PHX,69,209,5921
SLC,MSO,89,256,1995
FCA,MSO,54,168,1
MSP,ATW,68,273,1023
AUS,HOU,48,166,2585
JFK,MVY,59,185,242
PWM,JFK,74,201,2281
PSE,JFK,230,667,649
PHX,LGB,92,256,2
PHL,PVD,71,183,564
PHL,RIC,63,193,12
EWR,PHL,61,185,2
EWR,SYR,72,198,971
ROC,EWR,75,198,1406
HRL,IAH,71,189,2344
DCA,EWR,73,192,2761
DCA,HPN,69,331,6
MSY,SAT,85,226,475
BNA,CMH,70,186,1245
BNA,RSW,118,297,201
MIA,PBI,49,159,1
TPA,MIA,63,208,3969
EWR,AVP,49,144,103
BDL,BWI,67,207,4292
BFL,SFO,72,243,1285
RIC,LGA,87,238,2566
LGA,MHT,75,289,242
DEN,BIL,88,258,2188
BIS,MSP,85,226,2976
BJI,MSP,61,152,1329
BLI,SEA,46,223,493
CVG,STL,75,191,97
CVG,ORD,77,198,7730
CMH,MDW,66,201,3566
BOI,GEG,59,172,1159
BOI,OAK,90,229,1314
BOI,PDX,76,270,121
BUF,JFK,82,214,4796
BWI,BUF,66,222,3531
CLE,DTW,51,130,1288
BOS,ACK,46,169,232
BPT,DFW,74,319,1820
BQN,MCO,161,637,880
INL,BRD,59,203,4
BRO,DFW,97,343,2005
SCC,BRW,48,175,813
BRW,FAI,81,312,322
BTM,SLC,78,328,1287
BTR,IAH,68,198,4539
LAS,BUR,59,148,6080
BUR,OAK,65,169,7249
BUR,SJC,60,191,4134
MKE,ORD,49,130,9192
SJU,STX,38,117,665
SJU,STT,34,139,1386
STL,OKC,81,216,829
SLC,BZN,78,326,2113
DTW,CAK,55,160,377
YAK,CDV,49,194,652
LGA,CHO,82,338,709
MSN,CID,49,186,1
CID,MSP,70,202,1386
CIU,DTW,76,361,1192
CLD,LAX,46,200,1254
IAH,CLL,42,131,1364
IAD,GSO,68,201,120
CMI,ORD,56,268,3354
COD,DEN,89,310,605
COS,DEN,44,154,4055
COU,ORD,78,326,1236
CPR,DEN,64,257,1864
HOU,CRP,49,147,2468
CRP,IAH,62,156,4165
MYR,CRW,70,214,128
MSP,CWA,61,193,50
DBQ,ORD,56,263,1736
SLC,GJT,63,207,1234
SLC,SGU,67,300,2381
SFO,LIH,316,804,856
RDU,PHF,50,155,1
RKS,SLC,54,165,58
SFO,MMH,66,240,262
SFO,OTH,91,414,477
DLH,MSP,55,175,1213
DTW,APN,64,200,1095
MSP,GRB,67,265,2099
MLI,ORD,56,252,3049
DTW,BGM,83,330,517
DTW,BGR,125,341,621
JMS,DVL,42,194,721
EAU,ORD,76,217,1270
EKO,SLC,55,210,1035
EUG,SFO,93,233,3626
MIA,EYW,46,166,1070
FAT,SAN,70,195,388
MYR,LBE,85,382,386
SLC,GCC,86,223,660
GFK,MSP,75,302,1427
GUM,HNL,442,1448,662
INL,HIB,44,156,637
ITO,OGG,39,154,1334
MYR,IAG,110,329,230
ISN,MSP,109,389,2108
IAH,HOB,99,387,1086
IDA,SLC,56,189,2637
IMT,RHI,41,164,554
MSP,INL,69,176,482
JFK,HYA,61,187,163
PSG,JNU,43,119,654
JNU,YAK,51,193,650
JNU,SIT,41,199,1395
KTN,WRG,37,105,650
JNU,GST,32,97,150
LSE,ORD,68,243,2202
LWS,SLC,88,314,1174
MCO,ILG,141,465,122
PIB,MEI,33,101,889
MFR,SFO,80,322,2529
MRY,SFO,42,191,1503
SEA,PSC,62,303,347
ORD,MKG,56,163,1235
ORD,CMX,86,420,1234
SBA,SFO,70,175,4065
PHX,FLG,51,155,3217
PIH,SLC,51,238,1302
WRG,PSG,24,89,651
SLC,RDM,97,331,1186
SFO,SBP,62,156,2025
SFO,CEC,91,261,348
SFO,RDD,65,260,1412
SLC,CDC,58,167,1142
SLC,CNY,54,137,410
