GTF,SLC,90,388,1772
ABQ,PHX,71,319,4880
ABQ,DEN,75,217,3202
PHX,TUS,51,173,2286
PHX,YUM,57,149,3710
KOA,OGG,35,138,1671
PDX,SEA,52,180,3667
CPR,DEN,64,257,1864
EVV,ORD,77,217,3300
CLE,DTW,51,130,1288
GST,JNU,32,97,150
CIU,DTW,76,361,1192
EWR,PHL,61,185,2
EWR,PVD,66,250,702
EWR,SYR,72,198,971
EWR,MHT,74,304,1344
BJI,MSP,61,152,1329
ORD,SBN,49,177,2186
ORD,PIA,55,170,4142
ORD,SPI,60,223,1910
ORD,TOL,64,169,1798
ORD,PAH,85,366,1246
ORD,STC,93,331,154
ORD,SUX,97,300,1180
GFK,MSP,75,302,1427
CHO,LGA,82,338,709
FNT,ORD,66,166,3539
BDL,EWR,57,267,879
CHS,CLT,59,289,389
BGR,LGA,89,407,105
ABE,DTW,93,313,1383
IAD,RIC,47,233,70
IAD,ORF,59,286,154
IAD,ROA,68,304,10
IAD,UST,116,418,6
ALO,ORD,70,306,1166
BUF,BWI,66,222,3531
BOS,MVY,40,167,168
DBQ,ORD,56,263,1736
BZN,SLC,78,326,2113
AUS,HOU,48,166,2585
AUS,DAL,53,244,7632
AUS,IAH,56,209,4044
CID,MSN,49,186,1
KTN,WRG,37,105,650
KTN,SEA,117,416,2608
BNA,STL,61,227,1239
BNA,CVG,66,322,651
BRW,SCC,48,175,813
BRW,FAI,81,312,322
CWA,MSP,61,193,50
ADQ,ANC,55,161,874
MFR,SFO,80,322,2529
BFL,SFO,72,243,1285
FCA,MSO,54,168,1
ATW,ORD,61,291,2722
MSP,RST,47,176,794
MSP,RHI,63,298,1321
IND,ORD,64,285,5780
HOB,IAH,99,387,1086
MSO,SLC,89,256,1995
MKE,ORD,49,130,9192
EAU,ORD,76,217,1270
DFW,SPS,49,155,2340
DFW,TYR,50,203,3067
DFW,GRK,51,223,5003
DFW,LAW,51,152,2474
DFW,GGG,55,191,1229
DFW,TXK,58,255,1833
DFW,SJT,60,211,3103
DFW,FSM,64,180,2491
DFW,XNA,73,197,4280
DFW,JLN,80,397,1269
DFW,SGF,85,366,4278
DFW,GCK,86,299,1272
DFW,ROW,90,284,1831
DFW,MHK,90,329,1898
DFW,MEI,98,332,892
DFW,GRI,106,308,1218
GNV,MIA,69,327,1141
BRD,MSP,50,236,1161
BRD,INL,59,203,4
ACY,BOS,75,228,361
GRB,ORD,60,289,5261
GJT,SLC,63,207,1234
CLT,GSO,50,245,285
CLT,RDU,56,244,4206
CLT,MYR,59,227,12
CLT,ILM,60,219,323
HOU,SAT,52,235,2560
HOU,HRL,59,284,3059
HOU,MSY,64,267,6000
SFO,SMF,50,198,3079
FLG,PHX,51,155,3217
EKO,SLC,55,210,1035
FSD,MSP,62,242,2525
ABI,DFW,52,137,4455
DTW,LAN,47,161,857
DTW,MBS,50,153,864
DTW,GRR,52,177,2726
DTW,FWA,55,147,1941
DTW,TVC,62,205,1505
DTW,PIT,62,202,1054
DTW,ERI,62,155,196
DTW,PLN,70,338,1461
DTW,SCE,71,303,416
DTW,ESC,75,309,1105
DTW,ELM,76,192,2824
DTW,MDT,84,420,1038
DTW,ITH,87,360,61
DTW,SWF,100,253,38
AKN,ANC,59,192,126
LWS,SLC,88,314,1174
PIH,SLC,51,238,1302
GEG,SEA,63,306,6311
RKS,SLC,54,165,58
OGG,SFO,306,1186,2813
CRW,MYR,70,214,128
MQT,ORD,83,404,557
CMX,ORD,86,420,1234
JNU,SIT,41,199,1395
JNU,PSG,43,119,654
JNU,YAK,51,193,650
MYR,PBG,129,424,101
AVP,EWR,49,144,103
RNO,SFO,65,296,3142
RDU,TTN,81,344,546
MOT,MSP,94,382,1628
CAK,DTW,55,160,377
ACV,SFO,72,327,2535
